Firing temperature ,650C,,,,,,,,,,,,
Annealing temperature varied from 200-350C,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Time(hr)_200C,J0_200C,Time(hr)_225C,J0_225C,Time(hr)_250C,J0_250C,Time(hr)_275C,J0_275C,Time(hr)_300C,J0_300C,Time(hr)_325C,J0_325C,Time(hr)_350C,J0_350C
0.01,8.7,0.01,8.8,0.01,11.5,0.01,9.9,0.01,8.3,0.01,9,0.01,8.4
0.011,34.2,0.011,37.4,0.011,35.7,0.011,36.2,0.011,31.5,0.011,40.1,0.011,34
0.1,32.3,0.1,32.8,0.1,33.2,0.03,33.6,0.1,34.4,0.1,35.9,0.1,25.7
0.2,31.9,0.2,32.2,0.2,32.9,0.07,33.4,0.2,34.8,0.2,32.3,0.2,15.9
0.4,32.2,0.4,31.8,0.4,33.6,0.13,34,0.3,33.6,0.4,28.5,0.3,11.6
0.7,31.9,0.7,31.4,0.6,34.6,0.27,35.3,0.4,32.2,0.6,21.1,0.4,10.3
1,31.3,1.3,31.3,1,36,0.43,37.4,0.5,31.1,0.8,15.7,0.5,9.9
1.8,31,2.3,32.1,1.8,38.7,0.62,38.6,0.6,30.6,1,13.4,0.6,9.8
3.4,31.4,3.3,32.6,3,40.5,0.8,39.2,0.75,27.9,1.2,12.1,0.7,9.7
6,31.5,4.9,33.7,4.5,41.2,1,39.3,0.9,26.9,1.52,11.2,0.8,9.7
9.3,32,7.3,35.4,6.3,40.4,1.5,39.2,1.2,23.8,2.05,9.7,0.9,9.8
15.1,33.6,9.2,36.5,8.7,39.7,2.5,36.6,1.67,20,2.67,9.3,1,9.9
19.8,35.1,12.9,38.6,11.7,37.1,4.12,30.7,2.25,16.3,3.67,8.9,,
38.9,38.5,18.3,40.2,15.4,34,6.5,22.8,3.15,12.7,5,8.8,,
64.2,42.2,25.1,41.5,34.5,21.7,10,16.1,4.03,11,,,,
111.7,46.6,41.7,41.8,59.7,13.9,14.67,13.9,5.18,10.2,,,,
137.4,46.8,66.6,39.2,107.2,11.4,30.98,12.4,6.98,9,,,,
186.2,47.1,94.5,34,132.9,11.2,56.37,11.1,8.43,8.4,,,,
330,42.7,140.6,27.4,181.8,10.9,84.27,10.4,10,8,,,,
476.4,37.7,191.7,21.1,,,130.37,9.9,13,7.5,,,,
618.1,32.9,262.6,16.6,,,,,14.77,7.4,,,,
776.4,27.7,335.1,14.5,,,,,,,,,,
943.1,23.5,479.5,12.5,,,,,,,,,,
,,595.9,12.1,,,,,,,,,,
,,836.8,11.9,,,,,,,,,,